id_odd,time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas,data_jogo,data_extracao
677,São Paulo,Palmeiras,dom.,16:00,1.6,3.75,435,2025-10-05 16:00:00,2025-10-05
1058,Vasco,Bahia,qua.,19:30,1.61,2.2,388,2025-09-24 19:30:00,2025-09-24
315,Vasco,Ceará,dom.,20:30,1.33,3.05,378,2025-09-14 20:30:00,2025-09-13
3,Vasco,Cruzeiro,sáb.,18:30,2.12,1.64,395,2025-09-27 18:30:00,2025-09-27
428,Vasco,Fluminense,seg.,19:30,15.0,8.5,468,2025-10-20 19:30:00,2025-10-20
798,Vasco,Juventude,sáb.,18:00,1.5,1.5,495,2025-11-08 18:00:00,2025-11-08
513,Vasco,São Paulo,dom.,20:30,1.49,2.48,455,2025-11-02 20:30:00,2025-11-01
678,Vasco,Vitória,dom.,16:00,1.18,6.1,434,2025-10-05 16:00:00,2025-10-05
1033,Vitória,Bahia,qui.,21:30,2.0,1.72,387,2025-10-16 21:30:00,2025-10-15
782,Vitória,Botafogo,dom.,16:00,0.5,0.5,438,2025-11-09 16:00:00,2025-11-09
21,Vitória,Ceará,qui.,19:00,1.33,4.6,416,2025-10-02 19:00:00,2025-10-02
91,Vitória,Corinthians,sáb.,16:00,1.76,1.97,453,2025-10-25 16:00:00,2025-10-25
939,Vitória,Fluminense,sáb.,16:00,1.63,2.18,426,2025-09-20 16:00:00,2025-09-20
72,Vitória,Internacional,qua.,19:00,1.68,2.08,376,2025-11-05 19:00:00,2025-11-04
