id_odd,time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,data_jogo,data_extracao,num_apostas
127,Botafogo,Santos,dom.,16:00,1.73,3.7,4.6,2025-10-26 16:00:00,2025-10-25,438.0
362,Botafogo,Vasco,qua.,19:30,1.86,3.55,4.1,2025-11-05 19:30:00,2025-11-05,431.0
605,Bragantino,Atlético-MG,16 de nov.,19:00,2.06,3.2,3.45,2025-11-16 19:00:00,2025-11-10,287.0
359,Bragantino,Corinthians,qua.,19:00,2.63,3.15,2.75,2025-11-05 19:00:00,2025-11-05,478.0
91,Bragantino,Grêmio,sáb.,18:30,2.1,3.5,3.3,2025-10-04 18:30:00,2025-10-03,345.0
43,Bragantino,Santos,dom.,18:30,2.25,3.25,3.2,2025-09-28 18:30:00,2025-09-27,435.0
383,Bragantino,Sport,dom.,11:00,1.83,3.45,4.35,2025-09-14 11:00:00,2025-09-13,372.0
129,Bragantino,Vasco,dom.,18:30,2.1,3.65,3.2,2025-10-26 18:30:00,2025-10-25,454.0
1036,Ceará,Bahia,sáb.,18:30,2.6,3.1,2.75,2025-09-20 18:30:00,2025-09-20,355.0
453,Ceará,Botafogo,dom.,16:00,2.8,2.9,2.8,2025-10-19 16:00:00,2025-10-18,442.0
575,Ceará,Fluminense,dom.,16:00,2.8,3.0,2.63,2025-11-02 16:00:00,2025-11-01,466.0
1159,Ceará,Fortaleza,qui.,20:00,2.25,3.15,3.25,2025-11-06 20:00:00,2025-11-06,427.0
17,Ceará,Juventude,sáb.,16:00,1.56,3.9,6.0,2025-08-30 16:00:00,2025-08-30,0
278,Ceará,Juventude,sáb.,19:00,1.57,3.95,5.75,2025-08-30 19:00:00,2025-08-26,0
757,Ceará,Santos,dom.,20:30,2.4,3.0,3.2,2025-10-05 20:30:00,2025-10-05,394.0
451,Corinthians,Atlético-MG,sáb.,18:30,2.0,3.2,4.0,2025-10-18 18:30:00,2025-10-18,447.0
875,Corinthians,Ceará,dom.,16:00,1.57,3.65,6.75,2025-11-09 16:00:00,2025-11-09,480.0
44,Corinthians,Flamengo,dom.,20:30,4.5,3.35,1.84,2025-09-28 20:30:00,2025-09-27,404.0
576,Corinthians,Grêmio,dom.,16:00,1.72,3.4,5.3,2025-11-02 16:00:00,2025-11-01,468.0
94,Corinthians,Mirassol,sáb.,21:00,2.02,3.3,3.8,2025-10-04 21:00:00,2025-10-03,267.0
3,Corinthians,Palmeiras,dom.,18:30,3.1,3.1,2.38,2025-08-31 18:30:00,2025-08-31,0
958,Cruzeiro,Bragantino,dom.,20:30,1.5,4.1,6.75,2025-09-21 20:30:00,2025-09-21,448.0
876,Cruzeiro,Fluminense,dom.,16:00,1.83,3.35,4.6,2025-11-09 16:00:00,2025-11-09,439.0
452,Cruzeiro,Fortaleza,sáb.,21:00,1.37,4.6,8.5,2025-10-18 21:00:00,2025-10-18,387.0
758,Cruzeiro,Sport,dom.,20:30,1.38,4.6,8.0,2025-10-05 20:30:00,2025-10-05,393.0
19,Cruzeiro,São Paulo,sáb.,21:00,1.84,3.4,4.4,2025-08-30 21:00:00,2025-08-30,0
570,Cruzeiro,Vitória,sáb.,16:00,1.4,4.5,8.0,2025-11-01 16:00:00,2025-11-01,413.0
58,Flamengo,Cruzeiro,qui.,20:30,1.6,3.8,5.8,2025-10-02 20:30:00,2025-10-02,435.0
1,Flamengo,Grêmio,dom.,16:00,1.25,5.75,11.5,2025-08-31 16:00:00,2025-08-31,0
454,Flamengo,Palmeiras,dom.,16:00,1.95,3.25,4.1,2025-10-19 16:00:00,2025-10-18,450.0
685,Flamengo,Palmeiras,19 de out.,18:30,1.87,3.35,4.25,2025-10-19 18:30:00,2025-10-08,324.0
878,Flamengo,Santos,dom.,18:30,1.26,5.4,12.0,2025-11-09 18:30:00,2025-11-09,456.0
573,Flamengo,Sport,sáb.,21:00,1.15,7.5,17.0,2025-11-01 21:00:00,2025-11-01,439.0
955,Flamengo,Vasco,dom.,17:30,1.36,4.7,9.0,2025-09-21 17:30:00,2025-09-21,399.0
92,Fluminense,Atlético-MG,sáb.,18:30,1.9,3.35,4.25,2025-10-04 18:30:00,2025-10-03,421.0
42,Fluminense,Botafogo,dom.,16:00,2.38,3.15,3.05,2025-09-28 16:00:00,2025-09-27,425.0
814,Fluminense,Ceará,qua.,19:00,1.55,3.8,6.4,2025-10-29 19:00:00,2025-10-29,485.0
382,Fluminense,Corinthians,sáb.,21:00,2.05,3.05,4.0,2025-09-13 21:00:00,2025-09-13,428.0
123,Fluminense,Internacional,sáb.,17:30,1.77,3.5,4.7,2025-10-25 17:30:00,2025-10-25,450.0
466,Fluminense,Internacional,25 de out.,21:30,2.02,3.35,3.7,2025-10-25 21:30:00,2025-10-18,346.0
1127,Fluminense,Juventude,qui.,21:30,1.35,4.7,9.0,2025-10-16 21:30:00,2025-10-15,453.0
1158,Fluminense,Mirassol,qui.,19:30,1.86,3.4,4.4,2025-11-06 19:30:00,2025-11-06,467.0
125,Fortaleza,Flamengo,sáb.,19:30,5.3,3.8,1.63,2025-10-25 19:30:00,2025-10-25,403.0
