id_jogo,time_casa,time_fora,data_jogo,vencedor,pb_vitoria_casa,pb_empate,pb_derrota_casa,rodada,num_apostas
94,Fortaleza,Flamengo,2025-10-25 19:30:00,Fortaleza,0.3082706766917293,0.1203007518796992,0.5714285714285714,30.0,403.0
95,São Paulo,Bahia,2025-10-25 21:30:00,São Paulo,0.4070796460176991,0.0973451327433628,0.495575221238938,30.0,441.0
96,Fluminense,Internacional,2025-10-25 21:30:00,Fluminense,0.4322033898305085,0.2203389830508474,0.3474576271186441,30.0,346.0
97,Botafogo,Santos,2025-10-26 16:00:00,Empate,0.4659090909090909,0.3522727272727273,0.1818181818181818,30.0,438.0
98,Grêmio,Juventude,2025-10-26 16:00:00,Grêmio,0.4322033898305085,0.2203389830508474,0.3474576271186441,30.0,459.0
99,Bragantino,Vasco,2025-10-26 18:30:00,Vasco,0.2608695652173913,0.2246376811594203,0.5144927536231885,30.0,454.0
100,Palmeiras,Cruzeiro,2025-10-26 20:30:00,Empate,0.59375,0.203125,0.203125,30.0,473.0
103,Santos,Fortaleza,2025-11-01 16:00:00,Empate,0.3132530120481928,0.072289156626506,0.6144578313253013,31.0,442.0
104,Cruzeiro,Vitória,2025-11-01 16:00:00,Cruzeiro,0.2300884955752212,0.3628318584070796,0.4070796460176991,31.0,413.0
105,Mirassol,Botafogo,2025-11-01 18:00:00,Empate,0.5648148148148149,0.1481481481481481,0.2870370370370371,31.0,417.0
106,Flamengo,Sport,2025-11-01 21:00:00,Flamengo,0.823529411764706,0.1617647058823529,0.0147058823529411,31.0,439.0
107,Corinthians,Grêmio,2025-11-02 16:00:00,Corinthians,0.5365853658536586,0.3333333333333333,0.1300813008130081,31.0,468.0
108,Bahia,Bragantino,2025-11-02 16:00:00,Bahia,0.6440677966101696,0.0508474576271186,0.3050847457627119,31.0,453.0
109,Ceará,Fluminense,2025-11-02 16:00:00,Ceará,0.2051282051282051,0.0769230769230769,0.717948717948718,31.0,466.0
110,Internacional,Atlético-MG,2025-11-02 18:30:00,Empate,0.3333333333333333,0.0894308943089431,0.5772357723577236,31.0,431.0
111,Juventude,Palmeiras,2025-11-02 18:30:00,Palmeiras,0.1927710843373494,0.072289156626506,0.7349397590361446,31.0,490.0
112,Vasco,São Paulo,2025-11-02 20:30:00,São Paulo,0.5664335664335665,0.0769230769230769,0.3566433566433566,31.0,455.0
113,Sport,Juventude,2025-11-05 19:00:00,Juventude,0.2075471698113207,0.3018867924528302,0.490566037735849,32.0,477.0
114,Vitória,Internacional,2025-11-05 19:00:00,Vitória,0.4939759036144578,0.072289156626506,0.4337349397590362,32.0,422.0
115,Bragantino,Corinthians,2025-11-05 19:00:00,Bragantino,0.203125,0.1640625,0.6328125,32.0,478.0
116,Botafogo,Vasco,2025-11-05 19:30:00,Botafogo,0.2608695652173913,0.1521739130434782,0.5869565217391305,32.0,431.0
117,Atlético-MG,Bahia,2025-11-05 20:00:00,Atlético-MG,0.203125,0.203125,0.59375,32.0,476.0
118,Grêmio,Cruzeiro,2025-11-05 20:00:00,Cruzeiro,0.3333333333333333,0.2352941176470588,0.4313725490196078,32.0,426.0
119,São Paulo,Flamengo,2025-11-05 21:30:00,Empate,0.3566433566433566,0.0769230769230769,0.5664335664335665,32.0,401.0
120,Fluminense,Mirassol,2025-11-06 19:30:00,Fluminense,0.3739837398373983,0.048780487804878,0.5772357723577236,32.0,467.0
121,Ceará,Fortaleza,2025-11-06 20:00:00,Empate,0.59375,0.203125,0.203125,32.0,427.0
122,Palmeiras,Santos,2025-11-06 21:30:00,Palmeiras,0.5398230088495576,0.1415929203539823,0.3185840707964602,32.0,492.0
123,Sport,Atlético-MG,2025-11-08 16:00:00,Atlético-MG,0.1182795698924731,0.1720430107526882,0.7096774193548387,33.0,507.0
124,Vasco,Juventude,2025-11-08 18:00:00,Juventude,0.4946236559139785,0.1182795698924731,0.3870967741935484,33.0,495.0
125,Internacional,Bahia,2025-11-08 18:30:00,Empate,0.3050847457627119,0.2203389830508474,0.4745762711864407,33.0,429.0
126,São Paulo,Bragantino,2025-11-08 21:00:00,Bragantino,0.3980582524271844,0.3495145631067962,0.2524271844660194,33.0,460.0
127,Cruzeiro,Fluminense,2025-11-09 16:00:00,Empate,0.4313725490196078,0.0718954248366013,0.4967320261437908,33.0,439.0
128,Corinthians,Ceará,2025-11-09 16:00:00,Ceará,0.6021505376344086,0.064516129032258,0.3333333333333333,33.0,480.0
129,Vitória,Botafogo,2025-11-09 16:00:00,Empate,0.3333333333333333,0.2246376811594203,0.4420289855072464,33.0,438.0
130,Flamengo,Santos,2025-11-09 18:30:00,Flamengo,0.4183673469387755,0.2142857142857143,0.3673469387755103,33.0,456.0
131,Mirassol,Palmeiras,2025-11-09 20:30:00,Mirassol,0.3216783216783216,0.1468531468531468,0.5314685314685315,33.0,481.0
132,Fortaleza,Grêmio,2025-11-09 20:30:00,Empate,0.2203389830508474,0.3474576271186441,0.4322033898305085,33.0,474.0
