id_odd,time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas,data_jogo,data_extracao
85,Cruzeiro,Fluminense,dom.,16:00,1.35,2.95,324,2025-11-09 16:00:00,2025-11-04
86,Vitória,Botafogo,dom.,16:00,2.14,1.65,314,2025-11-09 16:00:00,2025-11-04
87,Flamengo,Santos,dom.,18:30,1.09,6.4,329,2025-11-09 18:30:00,2025-11-04
88,Fortaleza,Grêmio,dom.,20:30,1.48,2.5,341,2025-11-09 20:30:00,2025-11-04
89,Mirassol,Palmeiras,dom.,20:30,2.43,1.5,343,2025-11-09 20:30:00,2025-11-04
90,Atlético-MG,Ceará,sáb.,16:00,1.3,3.2,481,2025-10-25 16:00:00,2025-10-25
91,Vitória,Corinthians,sáb.,16:00,1.76,1.97,453,2025-10-25 16:00:00,2025-10-25
92,Fluminense,Internacional,sáb.,17:30,1.3,3.2,450,2025-10-25 17:30:00,2025-10-25
93,Sport,Mirassol,sáb.,18:30,1.97,1.76,444,2025-10-25 18:30:00,2025-10-25
94,Fortaleza,Flamengo,sáb.,19:30,3.7,1.24,403,2025-10-25 19:30:00,2025-10-25
95,São Paulo,Bahia,sáb.,21:30,1.38,2.85,441,2025-10-25 21:30:00,2025-10-25
96,Botafogo,Santos,dom.,16:00,1.3,3.25,438,2025-10-26 16:00:00,2025-10-25
97,Grêmio,Juventude,dom.,16:00,1.25,3.65,459,2025-10-26 16:00:00,2025-10-25
98,Bragantino,Vasco,dom.,18:30,1.55,2.3,454,2025-10-26 18:30:00,2025-10-25
99,Palmeiras,Cruzeiro,dom.,20:30,1.33,3.1,473,2025-10-26 20:30:00,2025-10-25
100,Fluminense,Ceará,qua.,19:00,1.24,3.7,342,2025-10-29 19:00:00,2025-10-25
101,Cruzeiro,Vitória,1 de nov.,16:00,1.13,5.2,319,2025-11-01 16:00:00,2025-10-25
102,Santos,Fortaleza,1 de nov.,16:00,1.33,3.1,308,2025-11-01 16:00:00,2025-10-25
103,Mirassol,Botafogo,1 de nov.,18:00,1.57,2.28,305,2025-11-01 18:00:00,2025-10-25
104,Flamengo,Sport,1 de nov.,21:00,1.03,11.5,325,2025-11-01 21:00:00,2025-10-25
105,Bahia,Bragantino,2 de nov.,16:00,1.28,3.35,326,2025-11-02 16:00:00,2025-10-25
106,Ceará,Fluminense,2 de nov.,16:00,1.82,1.9,347,2025-11-02 16:00:00,2025-10-25
107,Corinthians,Grêmio,2 de nov.,16:00,1.33,3.1,330,2025-11-02 16:00:00,2025-10-25
108,Internacional,Atlético-MG,2 de nov.,18:30,1.37,2.9,322,2025-11-02 18:30:00,2025-10-25
109,Juventude,Palmeiras,2 de nov.,18:30,5.4,1.12,360,2025-11-02 18:30:00,2025-10-25
110,Vasco,São Paulo,2 de nov.,20:30,1.53,2.38,322,2025-11-02 20:30:00,2025-10-25
111,Atlético-MG,Ceará,sáb.,16:00,1.36,2.9,428,2025-10-25 16:00:00,2025-10-24
112,Vitória,Corinthians,sáb.,16:00,1.95,1.79,413,2025-10-25 16:00:00,2025-10-24
113,Fluminense,Internacional,sáb.,17:30,1.4,2.75,427,2025-10-25 17:30:00,2025-10-24
114,Sport,Mirassol,sáb.,18:30,1.95,1.78,394,2025-10-25 18:30:00,2025-10-24
115,Fortaleza,Flamengo,sáb.,19:30,3.6,1.25,372,2025-10-25 19:30:00,2025-10-24
116,São Paulo,Bahia,sáb.,21:30,1.37,2.8,414,2025-10-25 21:30:00,2025-10-24
117,Botafogo,Santos,dom.,16:00,1.3,3.2,309,2025-10-26 16:00:00,2025-10-24
118,Grêmio,Juventude,dom.,16:00,1.22,3.9,346,2025-10-26 16:00:00,2025-10-24
119,Bragantino,Vasco,dom.,18:30,1.67,2.1,330,2025-10-26 18:30:00,2025-10-24
120,Palmeiras,Cruzeiro,dom.,20:30,1.34,3.0,345,2025-10-26 20:30:00,2025-10-24
121,Fluminense,Ceará,qua.,19:00,1.19,4.1,343,2025-10-29 19:00:00,2025-10-24
122,Cruzeiro,Vitória,1 de nov.,16:00,1.14,4.9,319,2025-11-01 16:00:00,2025-10-24
123,Santos,Fortaleza,1 de nov.,16:00,1.33,3.1,308,2025-11-01 16:00:00,2025-10-24
124,Mirassol,Botafogo,1 de nov.,18:00,1.58,2.25,307,2025-11-01 18:00:00,2025-10-24
125,Flamengo,Sport,1 de nov.,21:00,1.04,10.0,336,2025-11-01 21:00:00,2025-10-24
126,Bahia,Bragantino,2 de nov.,16:00,1.28,3.35,332,2025-11-02 16:00:00,2025-10-24
127,Ceará,Fluminense,2 de nov.,16:00,1.83,1.89,346,2025-11-02 16:00:00,2025-10-24
128,Corinthians,Grêmio,2 de nov.,16:00,1.32,3.15,333,2025-11-02 16:00:00,2025-10-24
129,Internacional,Atlético-MG,2 de nov.,18:30,1.37,2.9,320,2025-11-02 18:30:00,2025-10-24
